province,date,avg_pet,avg_precipitation,water_balance,spei
Badajoz,2005-10-01,789.3203372065979,131.90761252050137,-657.4127246860965,1.1356645001643464
Badajoz,2005-11-01,425.54232450245087,37.23893219924304,-388.30339230320783,0.006990279427365945
Badajoz,2005-12-01,307.5576896938135,45.90819245302392,-261.6494972407896,-0.18489528167284675
Badajoz,2006-01-01,324.9380740803386,50.92066704322005,-274.0174070371186,0.7014233173382378
Badajoz,2006-02-01,451.5815061934981,51.66943846221223,-399.9120677312859,0.46454402686041824
Badajoz,2006-03-01,780.367514113201,83.5008381837238,-696.8666759294772,0.6287285026342336
Badajoz,2006-04-01,1107.6496241010282,44.87760705342927,-1062.7720170475989,0.5212137447075403
Badajoz,2006-05-01,1651.606147284736,13.14166966197787,-1638.464477622758,-0.6629029571356178
Badajoz,2006-06-01,1924.1810023771195,36.08302700612854,-1888.097975370991,0.8367487924422244
Badajoz,2006-07-01,2230.85255215617,2.024163855101443,-2228.8283883010686,0.7181204805062387
Badajoz,2006-08-01,2036.2439582811016,15.98275002793943,-2020.2612082531623,0.258063978403045
Badajoz,2006-09-01,1356.1356800463936,34.662156080381045,-1321.4735239660126,0.19431036278314395
Badajoz,2006-10-01,834.5801167718294,137.9039275325984,-696.676189239231,0.7855759949123957
Badajoz,2006-11-01,429.1035390986274,161.8436900623124,-267.259849036315,1.6092106119693668
Badajoz,2006-12-01,314.87644416790204,35.32611840893093,-279.5503257589711,-0.5846703603955083
Badajoz,2007-01-01,326.6878996475096,25.92664759735765,-300.76125205015194,0.04272350373568526
Badajoz,2007-02-01,436.89242553756986,78.9577585608007,-357.93466697676917,0.9706211002966794
Badajoz,2007-03-01,849.5147626052254,22.83150543837761,-826.6832571668479,-0.587444496543849
Badajoz,2007-04-01,1006.763040175429,68.20048448529472,-938.5625556901342,0.640022163805195
Badajoz,2007-05-01,1500.003355755376,70.30027818638176,-1429.7030775689943,0.6994185435552138
Badajoz,2007-06-01,1814.8157264409945,23.9645606860118,-1790.8511657549827,1.4860072295005022
Badajoz,2007-07-01,2270.285465743203,1.1696423447396789,-2269.1158233984634,0.035356915188549005
Badajoz,2007-08-01,2004.960156823417,13.076970939943752,-1991.8831858834733,0.6717117517529773
Badajoz,2007-09-01,1251.5777487140292,44.45813159031388,-1207.1196171237152,1.3374969932785823
Badajoz,2007-10-01,812.6923306944383,41.29884043700331,-771.393490257435,0.05688846428289571
Badajoz,2007-11-01,467.3831602093792,71.95169343317028,-395.43146677620894,-0.10856483564436785
Badajoz,2007-12-01,287.0108435299766,17.497730107861393,-269.5131134221152,-0.35387225569019276
Badajoz,2008-01-01,347.3451142195222,54.16391853156248,-293.1811956879597,0.23329492653286069
Badajoz,2008-02-01,479.0772458037949,83.71924016757626,-395.35800563621865,0.5241575312486622
Badajoz,2008-03-01,864.2394215173083,18.366393514421272,-845.873028002887,-0.8069881116519184
Badajoz,2008-04-01,1173.9988552373634,143.2343410667737,-1030.7645141705898,0.5547331853001186
Badajoz,2008-05-01,1280.5031367704398,64.89484192308038,-1215.6082948473595,1.7532840539727554
Badajoz,2008-06-01,1972.320521455992,7.698392801587565,-1964.6221286544046,0.17729675845103193
Badajoz,2008-07-01,2254.6265597013344,3.2319820704195146,-2251.3945776309147,0.34128711269246326
Badajoz,2008-08-01,2027.6845197282744,0.0005678505948839,-2027.6839518776794,0.1471024213915142
Badajoz,2008-09-01,1271.6730539790308,41.12857889347664,-1230.544475085554,1.1340995017074607
Badajoz,2008-10-01,817.2717708783252,82.80748958688864,-734.4642812914366,0.42446614997069015
Badajoz,2008-11-01,439.8926309303381,27.00616480353273,-412.8864661268054,-0.39446256095858667
Badajoz,2008-12-01,311.7363209926509,49.62169672549552,-262.1146242671554,-0.19460299776808038
Badajoz,2009-01-01,336.4294128485257,77.47715156476058,-258.95226128376515,1.0451705177342474
Badajoz,2009-02-01,473.6878211149804,69.0669520015223,-404.6208691134581,0.4017165554315608
Badajoz,2009-03-01,897.9203347902118,30.208099120133586,-867.7122356700781,-1.0663054275732655
Badajoz,2009-04-01,1128.069474103897,36.66174831532619,-1091.4077257885708,0.48914553370447983
Badajoz,2009-05-01,1656.3882104550944,15.35646519045648,-1641.031745264638,-0.6799770662327519
Badajoz,2009-06-01,1932.5313903580168,14.896379348361217,-1917.6350110096555,0.5982286713779866
Badajoz,2009-07-01,2315.2829919685364,0.6170179990515682,-2314.6659739694846,-0.7373997054402662
