system:index,actual_evapotranspiration,community,date,max_temperature,min_temperature,potential_evapotranspiration,precipitation,province,soil_moisture,.geo
200704_0000000000000000002f,899.9790520123206,Aragón,2007-04-01T00:00:00,18.581339138431893,7.321383005123863,919.046603798374,106.49358422258874,Zaragoza,198.46580806680015,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000032,59.9020178678651,Canarias,2007-04-01T00:00:00,21.180147018686647,13.98207754871813,1282.3557015229526,5.224367255590529,Las Palmas,44.50070052220748,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000033,186.21728243201696,Canarias,2007-04-01T00:00:00,18.085663137547765,10.993416948556865,1242.577032904275,16.2637394016606,Santa Cruz de Tenerife,100.27144928172912,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000024,730.0629414208562,Cantabria,2007-04-01T00:00:00,15.60680076628352,6.718742787240913,732.3327101509491,93.11014171629049,Cantabria,1949.4241102340407,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000004,750.1249025069634,Castilla y León,2007-04-01T00:00:00,15.247839235972945,3.236798249104655,824.0376362912855,93.0940389972145,Ávila,436.1628969359331,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000008,701.072470594392,Castilla y León,2007-04-01T00:00:00,15.49322787874033,4.810460851399741,771.4477982319562,71.69106339923157,Burgos,990.0699759696108,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000017,724.007550943967,Castilla y León,2007-04-01T00:00:00,14.793552410325066,3.0390186562108976,769.413696097417,87.01524932061427,León,1431.004339302365,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000021,672.3282752427112,Castilla y León,2007-04-01T00:00:00,15.831973584379789,4.100219872102568,797.7536193735195,57.85537989873498,Palencia,822.3994085130769,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000023,839.0887698103066,Castilla y León,2007-04-01T00:00:00,16.79380952134887,5.069131317724505,883.4461640218472,104.82791709512567,Salamanca,557.3292166822548,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000025,692.2812385388394,Castilla y León,2007-04-01T00:00:00,15.846343431379738,4.167884911611529,789.68312183672,74.18164563925768,Segovia,369.4173787867673,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000027,749.7504081195931,Castilla y León,2007-04-01T00:00:00,15.29647763749197,3.5892342025618342,774.2099721806123,93.22549601051644,Soria,564.2013328849628,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000002c,651.7442566911394,Castilla y León,2007-04-01T00:00:00,17.812681505652026,5.091960532960415,868.0346346579657,59.16740084683218,Valladolid,165.1059394786933,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000002e,796.1342413842412,Castilla y León,2007-04-01T00:00:00,17.108717050383696,4.719452786119451,857.897415272416,86.54160112493452,Zamora,524.141588016588,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000001,869.2506144558706,Castilla-La Mancha,2007-04-01T00:00:00,17.774528770604604,6.278619573772074,952.3357984848544,92.6381811226845,Albacete,232.00188183980612,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000000c,889.2071200945107,Castilla-La Mancha,2007-04-01T00:00:00,19.202470986508295,6.888920105762319,947.2388223186299,91.67479739366675,Ciudad Real,321.7122146220716,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000000f,858.3847915574053,Castilla-La Mancha,2007-04-01T00:00:00,16.888040537736227,5.11090489252444,859.0268453083911,117.16240373985518,Cuenca,616.3263431143573,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000012,773.1925752969571,Castilla-La Mancha,2007-04-01T00:00:00,15.808328893346296,4.355765714942385,790.9737152766897,105.02511465613611,Guadalajara,500.2008963550325,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000002a,824.5838748830505,Castilla-La Mancha,2007-04-01T00:00:00,19.151687443632476,7.00003540091537,914.4806770003626,84.38256589206101,Toledo,247.24351615377483,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000007,804.488676589061,Cataluña/Catalunya,2007-04-01T00:00:00,16.948501468829086,8.045969061007272,808.5544524644584,99.5823235981023,Barcelona,625.6956472206167,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000010,721.1808036423312,Cataluña/Catalunya,2007-04-01T00:00:00,16.55373709566415,7.820374821324576,779.4823018688123,93.13355921435758,Girona,818.2071681931283,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000018,709.3320311092579,Cataluña/Catalunya,2007-04-01T00:00:00,15.102552976843066,4.629805489929642,749.3501747450881,116.77580642670735,Lleida,630.3377650128936,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000028,860.0501078346397,Cataluña/Catalunya,2007-04-01T00:00:00,18.91019188519138,8.856119363876395,863.2888758994616,107.77440388607825,Tarragona,380.75481224679004,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000030,792.3449477351919,Ciudad Autónoma de Ceuta,2007-04-01T00:00:00,19.326132404181187,11.840069686411153,984.8606271777004,74.45296167247388,Ceuta,660.4216027874565,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000031,1010.5273631840796,Ciudad Autónoma de Melilla,2007-04-01T00:00:00,19.60845771144279,12.480597014925376,1010.5273631840796,119.53731343283582,Melilla,210.91044776119404,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000001e,798.6571781513506,Comunidad Foral de Navarra,2007-04-01T00:00:00,16.749122461523775,6.348323397246538,801.9914901743141,125.78766015599354,Navarra,1320.210263112352,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000001b,767.2278968038576,Comunidad de Madrid,2007-04-01T00:00:00,17.46830119097031,5.889376257224048,853.0999393339508,81.78797215747629,Madrid,338.7262125227499,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000002,614.0078577664892,Comunitat Valenciana,2007-04-01T00:00:00,19.415673579535802,9.090909709387361,1010.5843207510796,63.36994999603143,Alacant/Alicante,81.08065265950816,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000000b,801.4647412872541,Comunitat Valenciana,2007-04-01T00:00:00,17.179942724007397,7.785304339384531,811.484923793807,108.5955247063393,Castelló/Castellón,366.8617901174644,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000002b,769.4268209666435,Comunitat Valenciana,2007-04-01T00:00:00,18.423116080411084,8.319019018415988,923.9285408772448,83.37280191810687,València/Valencia,149.86537708512796,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000005,777.460041865649,Extremadura,2007-04-01T00:00:00,20.07847060493744,8.586029378449163,1006.7684249635249,68.19411947719281,Badajoz,545.2287054573349,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000009,838.597528817409,Extremadura,2007-04-01T00:00:00,19.264079409422592,8.06102110883387,957.7628128141188,79.13137540305206,Cáceres,939.1627808310387,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000000e,779.3571423046875,Galicia,2007-04-01T00:00:00,16.973763467473102,9.156925742306228,819.3912740828966,79.07912261297986,A Coruña,2027.8703410084086,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000001a,778.5510200251488,Galicia,2007-04-01T00:00:00,16.247319657927164,6.731552277461851,778.7848719729244,107.28562580935757,Lugo,2180.614911572798,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_0000000000000000001f,793.8632349403798,Galicia,2007-04-01T00:00:00,15.786815745163388,5.930958558125152,794.0104979210333,122.81158723067936,Ourense,1825.8830796192576,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000022,827.4147064527749,Galicia,2007-04-01T00:00:00,17.052589144709493,8.89563904358186,828.6644640234948,108.14831130690159,Pontevedra,2082.0638212395743,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000006,848.9260747078465,Illes Balears,2007-04-01T00:00:00,18.728748434891482,10.579913136477469,879.1144355175293,122.39191621452427,Illes Balears,1161.083772433222,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000019,753.8606987331751,La Rioja,2007-04-01T00:00:00,15.72909120150435,4.8519187945368225,774.4360278107686,93.1100801662708,La Rioja,702.214605601742,"{""type"":""MultiPoint"",""coordinates"":[]}"
200704_00000000000000000000,742.9480180877496,País Vasco/Euskadi,2007-04-01T00:00:00,15.818431987615595,6.331105634089704,744.0674827881203,108.67674257546743,Araba/Álava,1503.7690145435272,"{""type"":""MultiPoint"",""coordinates"":[]}"
